idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.703181048890666,0.644,0.148,-0.496
,"[0.165, 1.123]","[-0.581, 0.876]","[-1.155, 0.163]"
-1.6538694329441326,0.643,0.144,-0.499
,"[0.169, 1.116]","[-0.585, 0.873]","[-1.161, 0.164]"
-1.5739472046283698,0.641,0.14,-0.501
,"[0.175, 1.106]","[-0.584, 0.863]","[-1.162, 0.16]"
-1.497003369350394,0.642,0.14,-0.502
,"[0.178, 1.106]","[-0.581, 0.861]","[-1.161, 0.156]"
-1.3921711923944824,0.633,0.128,-0.505
,"[0.176, 1.09]","[-0.576, 0.832]","[-1.148, 0.137]"
-1.3142955331682065,0.631,0.133,-0.498
,"[0.176, 1.086]","[-0.57, 0.835]","[-1.14, 0.144]"
-1.2376413581057553,0.623,0.139,-0.483
,"[0.164, 1.081]","[-0.581, 0.859]","[-1.141, 0.174]"
-1.151452736389718,0.624,0.175,-0.449
,"[0.167, 1.081]","[-0.557, 0.907]","[-1.122, 0.224]"
-1.0825764805017208,0.627,0.199,-0.428
,"[0.176, 1.078]","[-0.527, 0.925]","[-1.094, 0.238]"
-1.0243658046747364,0.633,0.219,-0.413
,"[0.188, 1.077]","[-0.498, 0.936]","[-1.072, 0.245]"
-0.9546184357866814,0.645,0.246,-0.4
,"[0.21, 1.08]","[-0.458, 0.949]","[-1.047, 0.248]"
-0.9076830320544016,0.65,0.262,-0.388
,"[0.221, 1.08]","[-0.424, 0.948]","[-1.019, 0.242]"
-0.8559061581643023,0.66,0.284,-0.376
,"[0.242, 1.077]","[-0.385, 0.953]","[-0.995, 0.243]"
-0.8072833883893775,0.676,0.314,-0.362
,"[0.264, 1.088]","[-0.338, 0.965]","[-0.964, 0.239]"
-0.7126418432086534,0.701,0.366,-0.335
,"[0.287, 1.114]","[-0.27, 1.002]","[-0.923, 0.253]"
-0.6391104561673464,0.72,0.431,-0.289
,"[0.315, 1.125]","[-0.175, 1.038]","[-0.853, 0.275]"
-0.584878157321284,0.735,0.491,-0.244
,"[0.344, 1.126]","[-0.106, 1.088]","[-0.807, 0.319]"
-0.524097593157905,0.753,0.552,-0.201
,"[0.371, 1.135]","[-0.005, 1.109]","[-0.727, 0.325]"
-0.4685885277287265,0.772,0.604,-0.168
,"[0.393, 1.151]","[0.061, 1.147]","[-0.682, 0.346]"
