,1 vs. 0,2 vs. 0,2 vs. 1
0,0.761,0.621,-0.14
,"[0.393, 1.129]","[0.088, 1.154]","[-0.645, 0.365]"
1,0.966,0.906,-0.06
,"[0.584, 1.348]","[0.37, 1.442]","[-0.55, 0.431]"
2,0.839,0.715,-0.124
,"[0.468, 1.21]","[0.184, 1.247]","[-0.62, 0.372]"
3,0.781,0.735,-0.047
,"[0.407, 1.156]","[0.225, 1.244]","[-0.519, 0.425]"
4,0.819,0.653,-0.167
,"[0.456, 1.183]","[0.121, 1.185]","[-0.67, 0.337]"
5,0.717,0.593,-0.124
,"[0.331, 1.104]","[0.067, 1.119]","[-0.628, 0.38]"
6,0.84,0.662,-0.179
,"[0.473, 1.207]","[0.109, 1.214]","[-0.695, 0.338]"
7,0.734,0.577,-0.157
,"[0.346, 1.121]","[0.045, 1.109]","[-0.654, 0.341]"
8,0.811,0.679,-0.132
,"[0.428, 1.195]","[0.144, 1.214]","[-0.627, 0.362]"
9,0.73,0.55,-0.18
,"[0.337, 1.122]","[0.011, 1.088]","[-0.677, 0.317]"
