idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.7144182573044016,-0.463,-0.369,0.093
,"[-0.802, -0.123]","[-0.79, 0.051]","[-0.279, 0.465]"
-1.658484742346402,-0.463,-0.366,0.097
,"[-0.795, -0.13]","[-0.784, 0.053]","[-0.276, 0.47]"
-1.576011262540505,-0.467,-0.375,0.092
,"[-0.788, -0.146]","[-0.79, 0.039]","[-0.276, 0.459]"
-1.5246816375261607,-0.472,-0.385,0.087
,"[-0.79, -0.153]","[-0.797, 0.028]","[-0.278, 0.453]"
-1.4525121304638229,-0.48,-0.41,0.07
,"[-0.796, -0.163]","[-0.815, -0.004]","[-0.292, 0.432]"
-1.39170072024102,-0.488,-0.43,0.058
,"[-0.798, -0.177]","[-0.826, -0.034]","[-0.297, 0.412]"
-1.3512796738283397,-0.493,-0.447,0.047
,"[-0.798, -0.189]","[-0.835, -0.058]","[-0.302, 0.395]"
-1.2911313308400365,-0.5,-0.472,0.027
,"[-0.791, -0.208]","[-0.845, -0.099]","[-0.313, 0.367]"
-1.216236212856429,-0.505,-0.498,0.007
,"[-0.794, -0.217]","[-0.859, -0.137]","[-0.329, 0.344]"
-1.155487407628078,-0.502,-0.515,-0.013
,"[-0.788, -0.216]","[-0.872, -0.158]","[-0.344, 0.319]"
-1.1113378338892788,-0.499,-0.523,-0.024
,"[-0.782, -0.216]","[-0.878, -0.167]","[-0.353, 0.305]"
-1.055241457389246,-0.489,-0.516,-0.026
,"[-0.773, -0.206]","[-0.872, -0.159]","[-0.357, 0.304]"
-0.9733962062337136,-0.472,-0.501,-0.029
,"[-0.755, -0.19]","[-0.856, -0.146]","[-0.359, 0.302]"
-0.9024451097017911,-0.449,-0.48,-0.031
,"[-0.728, -0.169]","[-0.829, -0.131]","[-0.358, 0.296]"
-0.8662282981810873,-0.437,-0.47,-0.033
,"[-0.72, -0.154]","[-0.819, -0.121]","[-0.36, 0.294]"
-0.8156291692951694,-0.419,-0.453,-0.034
,"[-0.704, -0.134]","[-0.801, -0.105]","[-0.358, 0.29]"
-0.7265906511140023,-0.386,-0.419,-0.033
,"[-0.66, -0.112]","[-0.763, -0.075]","[-0.356, 0.29]"
-0.6776854105773392,-0.355,-0.389,-0.033
,"[-0.609, -0.101]","[-0.715, -0.063]","[-0.339, 0.272]"
-0.5831458420782769,-0.22,-0.279,-0.059
,"[-0.413, -0.027]","[-0.546, -0.012]","[-0.31, 0.191]"
-0.5147143555393721,-0.103,-0.186,-0.082
