idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.703181048890666,-0.149,-0.558,-0.409
,"[-0.5, 0.201]","[-1.05, -0.067]","[-0.844, 0.026]"
-1.6538694329441326,-0.151,-0.559,-0.408
,"[-0.486, 0.185]","[-1.036, -0.082]","[-0.838, 0.021]"
-1.5739472046283698,-0.152,-0.561,-0.409
,"[-0.482, 0.178]","[-1.026, -0.097]","[-0.827, 0.008]"
-1.497003369350394,-0.148,-0.559,-0.411
,"[-0.474, 0.178]","[-1.017, -0.1]","[-0.824, 0.003]"
-1.3921711923944824,-0.152,-0.556,-0.404
,"[-0.472, 0.169]","[-1.008, -0.103]","[-0.811, 0.003]"
-1.3142955331682065,-0.154,-0.545,-0.391
,"[-0.474, 0.166]","[-0.998, -0.093]","[-0.798, 0.015]"
-1.2376413581057553,-0.16,-0.523,-0.363
,"[-0.476, 0.157]","[-0.971, -0.075]","[-0.765, 0.039]"
-1.151452736389718,-0.159,-0.488,-0.33
,"[-0.472, 0.155]","[-0.941, -0.036]","[-0.738, 0.079]"
-1.0825764805017208,-0.158,-0.468,-0.31
,"[-0.47, 0.153]","[-0.92, -0.017]","[-0.718, 0.098]"
-1.0243658046747364,-0.158,-0.455,-0.297
,"[-0.461, 0.146]","[-0.897, -0.013]","[-0.698, 0.103]"
-0.9546184357866814,-0.151,-0.437,-0.286
,"[-0.443, 0.141]","[-0.864, -0.011]","[-0.673, 0.101]"
-0.9076830320544016,-0.15,-0.427,-0.277
,"[-0.431, 0.131]","[-0.839, -0.015]","[-0.652, 0.098]"
-0.8559061581643023,-0.145,-0.414,-0.269
,"[-0.414, 0.124]","[-0.802, -0.026]","[-0.622, 0.085]"
-0.8072833883893775,-0.135,-0.393,-0.258
,"[-0.391, 0.121]","[-0.76, -0.027]","[-0.592, 0.076]"
-0.7126418432086534,-0.12,-0.353,-0.233
,"[-0.349, 0.109]","[-0.69, -0.016]","[-0.539, 0.074]"
-0.6391104561673464,-0.104,-0.293,-0.189
,"[-0.299, 0.091]","[-0.584, -0.003]","[-0.455, 0.078]"
-0.584878157321284,-0.088,-0.232,-0.144
,"[-0.249, 0.073]","[-0.476, 0.011]","[-0.371, 0.082]"
-0.524097593157905,-0.067,-0.166,-0.099
,"[-0.194, 0.061]","[-0.344, 0.012]","[-0.266, 0.068]"
-0.4685885277287265,-0.045,-0.107,-0.062
