idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.7144182573044016,0.386,0.33,-0.056
,"[-0.112, 0.884]","[-0.272, 0.932]","[-0.616, 0.504]"
-1.658484742346402,0.387,0.337,-0.05
,"[-0.115, 0.889]","[-0.267, 0.941]","[-0.613, 0.512]"
-1.576011262540505,0.384,0.329,-0.055
,"[-0.117, 0.885]","[-0.27, 0.928]","[-0.609, 0.5]"
-1.5246816375261607,0.379,0.321,-0.058
,"[-0.116, 0.874]","[-0.274, 0.915]","[-0.613, 0.497]"
-1.4525121304638229,0.37,0.297,-0.073
,"[-0.117, 0.857]","[-0.29, 0.884]","[-0.621, 0.475]"
-1.39170072024102,0.361,0.276,-0.085
,"[-0.122, 0.845]","[-0.306, 0.859]","[-0.628, 0.458]"
-1.3512796738283397,0.356,0.259,-0.096
,"[-0.122, 0.833]","[-0.32, 0.838]","[-0.634, 0.441]"
-1.2911313308400365,0.348,0.232,-0.116
,"[-0.113, 0.809]","[-0.339, 0.803]","[-0.657, 0.425]"
-1.216236212856429,0.341,0.203,-0.138
,"[-0.13, 0.812]","[-0.382, 0.787]","[-0.689, 0.413]"
-1.155487407628078,0.341,0.185,-0.156
,"[-0.127, 0.809]","[-0.408, 0.778]","[-0.714, 0.403]"
-1.1113378338892788,0.343,0.179,-0.164
,"[-0.125, 0.811]","[-0.413, 0.771]","[-0.729, 0.401]"
-1.055241457389246,0.351,0.189,-0.162
,"[-0.119, 0.821]","[-0.397, 0.774]","[-0.714, 0.389]"
-0.9733962062337136,0.366,0.207,-0.159
,"[-0.103, 0.835]","[-0.375, 0.79]","[-0.711, 0.393]"
-0.9024451097017911,0.387,0.231,-0.157
,"[-0.075, 0.85]","[-0.346, 0.808]","[-0.706, 0.392]"
-0.8662282981810873,0.398,0.241,-0.156
,"[-0.067, 0.863]","[-0.335, 0.818]","[-0.704, 0.391]"
-0.8156291692951694,0.415,0.261,-0.154
,"[-0.051, 0.881]","[-0.322, 0.844]","[-0.707, 0.398]"
-0.7265906511140023,0.448,0.296,-0.152
,"[-0.013, 0.91]","[-0.29, 0.883]","[-0.701, 0.397]"
-0.6776854105773392,0.477,0.323,-0.154
,"[0.028, 0.927]","[-0.256, 0.903]","[-0.706, 0.397]"
-0.5831458420782769,0.595,0.416,-0.179
,"[0.181, 1.008]","[-0.121, 0.952]","[-0.684, 0.326]"
-0.5147143555393721,0.696,0.498,-0.198
,"[0.301, 1.091]","[-0.04, 1.037]","[-0.706, 0.31]"
-0.4071844506396704,0.824,0.61,-0.214
,"[0.45, 1.199]","[0.067, 1.152]","[-0.726, 0.297]"
-0.3621069725522465,0.862,0.645,-0.216
,"[0.493, 1.23]","[0.109, 1.182]","[-0.721, 0.289]"
-0.2936618410852831,0.915,0.698,-0.218
,"[0.55, 1.281]","[0.167, 1.228]","[-0.713, 0.278]"
-0.2450731576137712,0.945,0.73,-0.215
,"[0.576, 1.314]","[0.184, 1.277]","[-0.725, 0.295]"
-0.174922479949972,0.973,0.761,-0.211
,"[0.599, 1.347]","[0.199, 1.324]","[-0.734, 0.311]"
-0.0919268391826789,0.993,0.788,-0.205
,"[0.612, 1.374]","[0.211, 1.366]","[-0.74, 0.33]"
-0.0311022458438512,1.003,0.802,-0.201
,"[0.625, 1.382]","[0.208, 1.397]","[-0.756, 0.354]"
0.0329558446949673,1.022,0.83,-0.192
,"[0.638, 1.407]","[0.221, 1.44]","[-0.763, 0.38]"
0.1001442794038909,1.045,0.86,-0.185
,"[0.658, 1.433]","[0.213, 1.508]","[-0.797, 0.427]"
0.1781155028135414,1.067,0.887,-0.179
,"[0.676, 1.457]","[0.253, 1.521]","[-0.774, 0.416]"
0.2818047468804571,1.097,0.937,-0.16
,"[0.695, 1.499]","[0.295, 1.579]","[-0.769, 0.449]"
0.3606772137689366,1.117,0.977,-0.139
