idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.4770114661769724,0.372,0.308,-0.064
,"[-0.12, 0.863]","[-0.285, 0.902]","[-0.619, 0.492]"
-1.0538030631384907,0.35,0.18,-0.17
,"[-0.116, 0.816]","[-0.407, 0.767]","[-0.728, 0.388]"
-0.6653624498972724,0.483,0.335,-0.149
,"[0.039, 0.927]","[-0.243, 0.912]","[-0.694, 0.397]"
-0.256982233641804,0.943,0.718,-0.225
,"[0.567, 1.318]","[0.181, 1.255]","[-0.721, 0.272]"
0.16602306994696,1.069,0.895,-0.174
,"[0.679, 1.459]","[0.264, 1.526]","[-0.77, 0.423]"
0.6249039298284971,1.101,0.969,-0.132
,"[0.702, 1.499]","[0.315, 1.623]","[-0.744, 0.481]"
1.0856522781846527,1.049,0.878,-0.171
,"[0.636, 1.461]","[0.228, 1.528]","[-0.773, 0.432]"
1.5260249743829606,1.133,1.033,-0.1
,"[0.72, 1.546]","[0.434, 1.633]","[-0.648, 0.449]"
