,1 vs. 0,2 vs. 0,2 vs. 1
0,0.778,0.624,-0.155
,"[0.403, 1.154]","[0.086, 1.161]","[-0.667, 0.358]"
1,0.901,0.835,-0.066
,"[0.511, 1.292]","[0.313, 1.358]","[-0.549, 0.416]"
2,0.837,0.752,-0.085
,"[0.453, 1.22]","[0.228, 1.275]","[-0.569, 0.399]"
3,0.827,0.683,-0.143
,"[0.457, 1.197]","[0.113, 1.254]","[-0.68, 0.393]"
4,0.777,0.625,-0.153
,"[0.389, 1.166]","[0.108, 1.141]","[-0.631, 0.325]"
5,0.643,0.446,-0.197
,"[0.268, 1.018]","[-0.092, 0.984]","[-0.705, 0.312]"
6,0.88,0.7,-0.179
,"[0.509, 1.251]","[0.134, 1.267]","[-0.714, 0.355]"
7,0.807,0.619,-0.188
,"[0.428, 1.186]","[0.08, 1.159]","[-0.694, 0.318]"
8,0.722,0.575,-0.147
,"[0.349, 1.095]","[0.066, 1.084]","[-0.625, 0.332]"
9,0.773,0.624,-0.148
,"[0.394, 1.151]","[0.076, 1.173]","[-0.655, 0.358]"
