,1 vs. 0,2 vs. 0,2 vs. 1
0,-0.045,-0.063,-0.018
,"[-0.11, 0.019]","[-0.157, 0.031]","[-0.109, 0.073]"
1,0.149,0.222,0.074
,"[0.045, 0.252]","[0.085, 0.359]","[-0.044, 0.192]"
2,0.018,0.024,0.006
,"[-0.052, 0.088]","[-0.084, 0.133]","[-0.096, 0.107]"
3,-0.023,0.064,0.087
,"[-0.083, 0.037]","[-0.018, 0.145]","[0.012, 0.162]"
4,0.013,-0.035,-0.048
,"[-0.057, 0.082]","[-0.147, 0.076]","[-0.155, 0.059]"
5,-0.082,-0.08,0.003
,"[-0.172, 0.007]","[-0.186, 0.026]","[-0.097, 0.102]"
6,0.022,-0.044,-0.066
,"[-0.048, 0.092]","[-0.134, 0.046]","[-0.148, 0.017]"
7,-0.066,-0.105,-0.039
,"[-0.151, 0.018]","[-0.208, -0.003]","[-0.13, 0.052]"
8,0.003,-0.022,-0.025
,"[-0.059, 0.065]","[-0.102, 0.059]","[-0.097, 0.047]"
9,-0.058,-0.111,-0.053
,"[-0.14, 0.024]","[-0.204, -0.018]","[-0.128, 0.022]"
