idx,1 vs. 0,2 vs. 0,2 vs. 1
-1.503818981755732,-0.145,-0.556,-0.411
,"[-0.474, 0.184]","[-1.021, -0.091]","[-0.83, 0.008]"
-1.0442317205800289,-0.162,-0.464,-0.302
,"[-0.47, 0.147]","[-0.913, -0.015]","[-0.708, 0.104]"
-0.6542191829394935,-0.11,-0.316,-0.206
,"[-0.316, 0.096]","[-0.629, -0.003]","[-0.498, 0.085]"
-0.2824733035029711,0.029,0.147,0.117
,"[-0.113, 0.171]","[-0.041, 0.334]","[-0.056, 0.291]"
0.1842573314079842,0.191,0.359,0.168
,"[0.008, 0.374]","[0.106, 0.612]","[-0.058, 0.393]"
0.6297332406932604,0.083,0.291,0.207
,"[-0.096, 0.263]","[0.034, 0.547]","[-0.022, 0.436]"
1.087597923167437,0.012,0.22,0.208
,"[-0.213, 0.237]","[-0.087, 0.527]","[-0.075, 0.491]"
1.5172319645994117,0.09,0.299,0.209
,"[-0.144, 0.324]","[-0.03, 0.628]","[-0.092, 0.511]"
